                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7773,                 2.9998,                 1.5036,                0.02971,                0.60649,                0.14166,                0.07427,                 1.4112,                  3.299,                 1.3305,             0.00041054,             0.00041054,             0.00041054
                      2,                 1.3799,                 1.8984,                 1.2545,                 0.7277,                0.37153,                0.43453,                 0.2201,                 1.5309,                  2.001,                 1.3963,             0.00081083,             0.00081083,             0.00081083
                      3,                 1.3521,                 1.6005,                 1.2556,                0.68655,                0.55832,                0.61644,                0.35929,                 1.4122,                 1.3842,                 1.3322,              0.0011946,              0.0011946,              0.0011946
                      4,                 1.3209,                 1.4488,                 1.2434,                 0.7037,                0.56413,                0.65022,                0.39605,                 1.3404,                 1.3654,                 1.2634,              0.0011757,              0.0011757,              0.0011757
                      5,                 1.2813,                 1.3305,                  1.219,                0.66161,                0.61689,                0.67084,                0.39911,                 1.3599,                 1.1674,                 1.2957,               0.001151,               0.001151,               0.001151
                      6,                 1.2992,                 1.2807,                 1.2305,                0.70727,                0.61457,                0.70122,                0.43637,                 1.3174,                 1.1229,                 1.2768,              0.0011263,              0.0011263,              0.0011263
                      7,                 1.2457,                 1.1833,                 1.1993,                 0.6852,                0.68882,                0.72908,                0.45999,                 1.2554,                 1.0351,                 1.2578,              0.0011015,              0.0011015,              0.0011015
                      8,                  1.243,                 1.1329,                 1.1926,                0.67718,                0.66738,                 0.7242,                0.44728,                 1.2705,                 1.0461,                 1.2625,              0.0010768,              0.0010768,              0.0010768
                      9,                 1.2378,                 1.1245,                 1.1867,                0.75465,                0.73758,                0.77692,                0.50169,                 1.2065,                0.92498,                 1.2028,               0.001052,               0.001052,               0.001052
                     10,                 1.2169,                 1.1021,                 1.1785,                0.69231,                0.75023,                0.77087,                0.48281,                 1.2338,                  0.954,                 1.2226,              0.0010273,              0.0010273,              0.0010273
                     11,                 1.2125,                 1.0489,                 1.1763,                0.73657,                0.74486,                0.78793,                0.48357,                 1.2507,                0.92197,                 1.2326,              0.0010025,              0.0010025,              0.0010025
                     12,                 1.2248,                 1.0406,                 1.1802,                 0.7584,                 0.7138,                0.78629,                0.51142,                 1.2104,                0.96304,                 1.2007,             0.00097775,             0.00097775,             0.00097775
                     13,                 1.1906,                 1.0095,                 1.1585,                0.78696,                0.74591,                0.80438,                0.51649,                 1.1916,                0.91549,                 1.2081,               0.000953,               0.000953,               0.000953
                     14,                 1.1747,                 0.9785,                 1.1581,                0.68582,                0.73599,                0.75952,                0.49051,                 1.2309,                0.98159,                 1.1969,             0.00092825,             0.00092825,             0.00092825
                     15,                 1.1828,                0.96156,                 1.1569,                0.78026,                0.76769,                0.82689,                0.54101,                 1.1724,                0.85042,                 1.2108,              0.0009035,              0.0009035,              0.0009035
                     16,                 1.1594,                0.95221,                 1.1485,                0.78548,                0.77943,                 0.8282,                0.55758,                 1.1692,                0.82617,                  1.179,             0.00087875,             0.00087875,             0.00087875
